STATION,STATION_NAME,DATE,HPCP
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110813 14:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110813 16:00,0.04
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 01:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 02:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 03:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 04:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 05:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 06:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 07:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 08:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 09:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 10:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 16:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 22:00,0.85
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110814 23:00,0.48
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110815 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110815 01:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110818 17:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110818 18:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110818 19:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110818 20:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110818 21:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110818 22:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110819 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110819 01:00,0.06
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110819 02:00,0.02
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110819 19:00,1.22
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110819 20:00,0.31
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110819 21:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110821 15:00,0.27
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110822 02:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110822 03:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110825 11:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110825 12:00,0.17
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110825 13:00,0.22
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110825 14:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110825 16:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110825 17:00,0.02
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110826 16:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110826 17:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 10:00,0.02
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 11:00,0.02
